First name,Last name,Highest DOJ title,# years DOJ service,Admins served under
Sharon,Collins,"Senior Appelllate Counsel, Criminal Division, USAO, DC",7,"Bush I, Reagan"
David,Collins,"Civil Chief, Office of United States Attorney, District of Maine",30,"Obama, Bush II, Clinton, Bush I, Reagan"
Eric,Columbus,Senior Counsel to the Deputy Attorney General,6,"Obama, Bush II, Clinton"
Paula,Conan,Assitant United States Attorney,34,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Mary Ellen,Condon,"Director, Information Management",6,"Clinton, Reagan"
Bob,Connolly,"Chief, Philadelphia Field Office",33,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Terence,Connor,Trial Attorney,3,"Ford, Nixon"
Nick,Connor,"Trial Attorney, Public Integrity Section",3,"Trump, Obama"
Jan,Constantine,"Deputy Chief, Civil Division, EDNY",5,"Reagan, Carter"
James,Conway,"Associate Chief, Criminal Division, United States Attorney's Office, Chicago",29,"Obama, Bush II, Clinton, Bush I, Reagan"
Randy,Cook,Assistant United States Attorney ,4,"Obama, Bush II"
Charlie,Cooper,Assistant United States Attorney,5,"Trump, Obama"
Dean,Cooper,Senior Trial Attorney,5,Reagan
Jeffrey,Coopersmith,"Deputy Supervisor, Complex Crimes, United States Attorney’s Office for the W.D. Wa.",8,"Bush II, Clinton"
Julie,Copeland,"Deputy, General Crimes Division, EDNY",9,"Clinton, Bush I, Reagan"
Ellen,Corcella,"Chief, General Crimes, EDNY",9,"Clinton, Bush I"
Bernice,Corman,Trial Attorney,13,"Bush II, Clinton"
Leslie ,Cornfeld ,Federal Prosecutor - EDNY,8,Clinton
Paul,Corradini,Assistant United States Attorney,12,"Reagan, Carter, Ford, Nixon"
Richard,Correa,Trial Attorney,10,"Bush I, Reagan"
Patrick ,Cotter,"Assistant United States Attorney /Special Attorney Strike Force, EDNY",7,"Bush I, Reagan"
Michael,Cotter,"United States Attorney, Montana",8,"Trump, Obama"
Raymond (Jerry),Coughlan,Assistant United States Attorney,10,"Reagan, Carter, Ford, Nixon"
Colleen,Coughlin,Assistant United States Attorney,15,"Bush II, Clinton, Bush I"
Robert,Courtney,"Chief, Organized Crime Strike Force, EDPA",38,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Colleen,Covell,Assistant United States Attorney,19.5,"Trump, Obama, Bush II, Clinton"
Andrew,Cowan,Assistant United States Attorney,13,"Obama, Bush II, Clinton"
Susan,Cowger,Senior Litigation Counsel,23,"Obama, Bush II, Clinton, Bush I"
James,Cowles,"Assistant United States Attorney, Lead OCDETF",32,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Marianne,Cox,Assistant United States Attorney,11,"Obama, Bush II"
William,Craco,"Deputy Chief, Criminal Division, SDNY",10,"Bush II, Clinton"
Sara,Criscitelli,Assistant Director,27,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Robert,Crouch,"United States Attorney, Western District of Virginia",7.5,Clinton
Matthew,Crowl,Deputy Chief,11,"Clinton, Bush I"
John,Cruden,"Assistant Attorney General, Environment and Natural Resources Division",22,"Obama, Bush II, Clinton, Bush I, Reagan"
Joan,Crum,"Acting Director, Information Technology",15,"Obama, Bush II, Clinton"
Daniel,Crumby,Assistant United States Attorney,5,Obama
Brooke,Cucinella,Assistant United States Attorney,6,"Trump, Obama"
Katherine,Culliton-Gonzalez,Senior Attorney,5,"Obama, Bush II"
Nelson,Cunningham,"Assistant United States Attorney, SDNY",6,"Clinton, Bush I, Reagan"
Margaret,Curran,"United States Attorney, DRI",17,"Bush II, Clinton"
Kelly,Currie,"Acting United States Attorney, EDNY",13,"Obama, Bush II, Clinton"
William,Currier,Assistant United States Attorney,5,"Reagan, Carter"
Richard,Cutler,Assistant United States Attorney,11,"Bush II, Clinton, Bush I"
Karen,Czapanskiy,Attorney-Advisor,5,"Reagan, Carter"
John,Daly,"Special Counsel, Civil Appellate Staff",13,"Clinton, Bush I, Reagan"
Lisa,Damiano,Trial Attorney ,10,"Trump, Obama"
Wayne,Dance,Assistant United States Attorney,23,"Bush II, Clinton, Bush I, Reagan"
Howard,Daniels,Chief of Civil Fraud Section,29,"Obama, Bush II, Clinton, Bush I"
Antonia,Darling,Assistant United States Trustee,34,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Mary Jude,Darrow,Assistant United States Attorney,14,"Bush II, Clinton, Bush I"
Frederick,Davis,Chief Appellate Attorney,4,"Carter, Ford"
Mary McGowan,Davis,"Chief, Appeals Division, EDNY",8,"Reagan, Carter"
Gabe,Davis,"Trial Attorney, Civil Rights Division, Criminal Section",3.5,"Trump, Obama"
Stan,Davis,"Assistant United States Attorney, SDNY",4,"Reagan, Carter"
Ellen,Davis,Assistant United States Attorney,6,"Obama, Clinton"
Richard,Davis,Assistant Watergate Special Prosecutor ,5,"Ford, Nixon"
Don,Davis,United States Attorney,40,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Ronald,Davis,"Director, Office of Community Oriented Policing Services",3.5,Obama
Floy,Dawson,"Criminal Division Chief, Northern District of California ",28,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Elizabeth,Dawson,Trial Attorney,5,"Trump, Obama"
Deborah,Dawson,"Special Assistant to the Deputy Assistant Attorneys General, Trial Attorney",10,"Reagan, Carter"
Patrick,De Klotz,Attorney Advisor,4.8,Obama
Elizabeth,de la Vega,"Chief, San Jose Branch, United States Attorney's Office, ND Ca. ",23,"Bush II, Clinton, Bush I, Reagan"
Patrick,Deady,Assistant United States Attorney,10,"Reagan, Carter"
John W.,Dean,Associate Deputy Attorney General ,2,Nixon
Tom,DeCair,Director of Public Affairs & Special Assistant to the Attorney General,4,Reagan
Janet,DeCosta,"Trial Attorney, Special Assistant United States Attorney",6,"Reagan, Carter"
Diane,Deforest,Assistant United States Attorney,11,"Bush II, Clinton, Reagan"
Bert,Deixler,Assistant United States Attorney,3,Carter
Sheila,Delaney,Senior Trial Attorney,38,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Pedro,deLemos,Senior Trial Attorney,34,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Bernard,Delia,Associate Deputy Attorney General and White House Liaison,26,"Trump, Obama, Bush II, Clinton"
Jacques,deLisle,Attorney-Advisor,2,"Clinton, Bush I"
Michelle,DeLong,Assistant United States Attorney,6,"Bush II, Clinton"
Jeffrey,Demerath,Assistant United States Attorney for the District of Columbia,7,"Carter, Ford, Nixon"
Stuart,Deming,Trial Attorney,6,"Bush I, Reagan, Carter"
James,Denvir,"Chief, AT&T Trial Team",9,"Reagan, Carter, Ford"
Ronald,DePetris,"Chief Assistant United States Attorney, EDNY",10,"Reagan, Carter, Ford, Nixon"
Joseph,DePietro,Assistant United States Attorney,6,Reagan
Pamela,DeRusha,First Assistant United States Attorney,22,"Obama, Bush II, Clinton"
Nirav,Desai,Assistant United States Attorney,6,"Trump, Obama"
Christine,Desan,Assistant to the Solicitor General,2,Bush I
George D.,DeShazor Jr.,"Supervisory Special Agent, FBI",20,"Obama, Bush II, Clinton, Bush I"
Steven,Dettelbach,"United States Attorney, Northern District of Ohio",21,"Obama, Bush II, Clinton, Bush I"
Michael ,Dettmer ,United States Attorney ,7,Clinton
Ann,Deutscher,Consultant,5,Clinton
Kathleen,Devine,Special Legal Counsel,28,"Obama, Bush II, Clinton, Bush I, Reagan"
Michael,Di Roma,FBI Special Agent and Chief Division Counsel (CDC),22,"Obama, Bush II, Clinton"
Stephen,Dichter,"Assistant United States Attorney, District of Arizona",5,Ford
John,DiCicco,"Acting Assistant Attorney General, Tax Division",37,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
James,Dick,Trial Attorney,4,"Reagan, Carter"
Robert,Dickerson,Assistant United States Attorney,5,"Bush I, Reagan"
Murray,Dickman,Assistant to Attorney General,3,"Bush I, Reagan"
Robert,Diegelman,"Deputy Assistant Attorney General,  Justice Management Division",33,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Debra,Diener,Assistant United States Attorney,4,Reagan
Matthew,Diggs,Assistant United States Attorney,13,"Trump, Obama, Bush II"
Carla,Diggs Smith,Assistant United States Attorney,8,"Bush II, Clinton"
W. Thomas,Dillard,United States Attorney,18,"Reagan, Carter, Ford, Nixon, Johnson"
Joseph,DiStefano,Trial Attorney ,4,Nixon
Wanda,Dixon,Trial Attorney ,9,"Obama, Bush II, Clinton"
Joseph,Dixon,Deputy Criminal Chief,10,"Obama, Bush II"
Eric,Dobberteen,"Assistant United States Attorney, Senior Trial Counsel",6,"Reagan, Carter"
Judith,Dobkin,Assistant United States Attorney ,25,"Bush II, Clinton, Bush I, Reagan, Carter"
Timothy ,Doherty,Assistant United States Attorney ,10,"Obama, Bush II"
Michael,Dolinger,"Deputy Chief, Civil Division, United States Attorney's Office, SDNY",8,"Reagan, Carter, Ford"
Sean,Donahue,"Attorney, Appellate Section, ENRD",4.5,"Bush II, Clinton"
Ted,Doolittle,Trial Attorney,5.5,"Bush II, Clinton"
David,Dopsovic,Trial Attorney,4,"Reagan, Carter"
Kenneth,Doroshow,Senior Counsel,10,"Bush II, Clinton, Bush I"
Dan,Dorsky,Assistant United States Attorney,12,"Obama, Bush II, Clinton"
Philip,Douglas,"Assistant United States Attorney, Southern District of New York",5,"Reagan, Carter"
Irene,Dowdy,Senior Litigation Counsel,32,"Obama, Bush II, Clinton, Bush I, Reagan"
Robert,Dreher,"Acting Assistant Attorney General, ENRD",4,Obama
Joshua,Drew,Assistant United States Attorney,10,"Obama, Bush II, Clinton"
Richard,Drooyan,"Chief Assistant United States Attorney, CD California",14,"Clinton, Reagan, Carter"
James,Druker,"Deputy Chief, Criminal Division, EDNY",6,"Carter, Ford"
Scott,Drury,Assistant United States Attorney,7.5,"Obama, Bush II"
Marc,Dubin,Senior Trial Attorney,14,"Bush II, Clinton, Reagan"
Michael,DuBose,"Chief, Computer Crime & Intellectual Property Section",25,"Obama, Bush II, Clinton, Bush I"
Robert,Duffey,Assistant United States Attorney,2,Reagan
Felice,Duffy,Assistant United States Attorney,10,"Obama, Bush II"
Jill,Dufresne,Assistant Chief Immigration Judge,39,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
John,Duncan,"Executive Assistant United States Attorney, NDNY",30,"Obama, Bush II, Clinton, Bush I, Reagan"
Marc,Durant,"Deputy Chief, Criminal Division, E.D. Pa.",6,"Reagan, Carter, Ford"
Thomas Anthony,Durkin,Assistant United States Attorney,6,"Reagan, Carter"
Anita,Dymant,Assistant United States Attorney,11,"Bush I, Reagan"
Linda,Eads,"Senior Trial Attorney, Tax Division",8,"Reagan, Carter"
Roberta,Eaton,Assistant United States Attorney for District of Colombia ,10,Ford
Terry,Eaton,Assistant United States Attorney,6,"Obama, Bush II"
Michael,Eberhardt,"Deputy Chief, SDNY Organized Crime Strike Force",5,"Carter, Ford, Nixon"
Ronnie,Edelman,"Principal Deputy Chief, Counterterrorism Section, National Security Division",33,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Peter,Edelman,"Special Assistant to Assistant Attorney General, Civil Division",1,"Johnson, Kennedy"
Barbara ,Edelman ,Assistant United States Attorney,7,"Reagan, Carter"
Mary,Edgar,"Assistant Section Chief, ENRD",21,"Obama, Bush II, Clinton"
John,Edwards,United States Attorney for the Western District of Virginia ,2,"Reagan, Carter"
William,Edwards ,Acting United States Attorney,40,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Dennis,Egan,Trial Attorney,29,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Jeffrey,Eglash,"Chief, Public Corruption & Government Fraud Section",12,"Clinton, Bush I, Reagan"
Stephen ,Ehlke ,Assistant United States Attorney,9,"Obama, Bush II"
Susan,Ehrlich,Attorney,11,"Bush I, Reagan, Carter"
Miles,Ehrlich,"Chief of White Collar Crime Section , United States Attorney's Office for the Northern District of California",11,"Bush II, Clinton"
Tom,Eicher,Criminal Chief,32,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Jennifer,Eichhorn,Attorney,30,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Hon. Bruce,Einhorn,Immigration Judge,28,"Bush II, Clinton, Bush I, Reagan"
Miriam,Eisenstein,"Attorney, Appellate Section, Civil Rights",30,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Nancy,Elder,Trial Attorney,3,"Reagan, Carter"
Lucy,Eldridge ,Trial Attorney ,7,"Clinton, Bush I"
Barbara,Elkin,Attorney-Advisor,8,"Obama, Bush II"
Willie,Ellison,"Assistant United States Attorney, WDTn",7,"Reagan, Carter"
Gerry,Elman,Antitrust Division Trial Attorney,6,"Reagan, Carter, Ford"
J. William,"Elwin, Jr.",Trial Attorney,3,"Ford, Nixon"
Dione,Enea,Special Assistant United States Attorney,16,"Obama, Bush II, Clinton"
Eugenia ,Esch,Senior Trial Attorney ,35,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Katherine ,Eskovitz ,Assistant United States Attorney ,3,Clinton
Cecelia,Espenoza,Appellate Immigration Judge,17,"Trump, Obama, Bush II, Clinton"
Marianne,Espinosa,"Assistant United States Attorney, D.N.J.",8,"Reagan, Carter"
David,Esseks,Assistant United States Attorney,12,"Bush II, Clinton"
Jonathan,Etra,Assistant United States Attorney,6,"Bush II, Clinton"
Neil,Evans,"Assistant United States Attorney, Health Care Fraud Coordinator D. OR",30,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Virginia,Evans,"Chief, Civil Division, United States Attorney's Office, District of Maryland",28,"Bush II, Clinton, Bush I, Reagan, Carter"
Kelli,Evans,Senior Trial Attorney,3,Clinton
Christian,Everdell,Assistant United States Attorney,9.5,"Obama, Bush II"
Gregory,Everts,Trial Attorney,6.75,"Clinton, Bush I"
Kathleen,Eyre,"Trial Attorney, Antitrust Divison",2.5,Reagan
Marc,Fagelson,Assistant United States Attorney,25,"Bush II, Clinton, Bush I, Reagan"
Curtis,Fallgatter,"Chief Assistant United States Attorney, Jacksonville/Ocala Divisions, Middle District of Florida",17,"Clinton, Bush I, Reagan, Carter, Ford"
Brian,Fallon,"Director, Office of Public Affairs",2,"Obama, Bush II"
Lily,Farel,Trial Counsel,6,"Obama, Bush II"
Anthony,Farley,Assistant United States Attorney ,3,Bush I
Elizabeth,Farr,"Senior Counsel to Assistant General Attorney, Criminal Division",21,"Obama, Bush II, Clinton, Bush I"
J. Michael,Faulkner,Assistant United States Attorney,31,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
James,Faulkner,"Judicial Attache, Colombia",12,"Obama, Bush II"
Mike,Fawer,"Chief of Special Prosecutions, SDNY",8,"Johnson, Kennedy"
Donald,Fay,Chief of Appeals,8,"Reagan, Carter"
Ira,Feinberg,"Chief Appellate Attorney, SDNY Criminal Division",11,"Clinton, Bush I"
Richard,Feinstein,Acting Assistant Section Chief,8,"Reagan, Carter, Ford"
Howard,Feinstein,Trial Attorney,11,"Reagan, Carter, Ford"
Robert A.,Feitel,Deputy Chief,22.5,"Bush II, Clinton, Bush I, Reagan"
Jonathan S.,Feld,Associate Deputy Attorney’s General,7,"Bush I, Reagan"
Cary,Feldman,Assistant United States Attorney,7,"Reagan, Carter"
James,Feldman,Assistant to the Solicitor General,17,"Bush II, Clinton, Bush I"
Adam,Fels,Senior Trial Attorney,16,"Trump, Obama, Bush II"
Charles W,Fels,Assistant United States Attorney,5,"Reagan, Carter, Ford"
Kathleen,Felton,"Deputy Chief, Criminal Appellate Section",35,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Arthur Lee,Fentress,Assistant United States Attorney for the District of Columbia ,2,Johnson
Alan,Ferber,Attorney-Advisor,38,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
James,Fergal,"Assistant United States Attorney, EDWI",3.5,Carter
Edward,Ferguson,"Deputy Chief, Civil Division, United States Attorney's Office, Southern District of New York",6,"Bush I, Reagan"
Deborah,Ferguson,Assistant United States Attorney ,21,"Obama, Bush II, Clinton, Bush I"
Albert ,Ferlo ,"Trial Attorney, ENRD",14,"Clinton, Bush I, Reagan, Carter"
Teresa,Ferrante,Deputy Chief,2,Bush II
Noel,Ferris,Immigration Judge,28,"Obama, Bush II, Clinton, Bush I, Reagan"
Robert ,Fettweis,"Chief, Criminal Division, DNJ",10,"Reagan, Carter, Ford"
George,Fffleming,Trial Attorney,5,"Ford, Nixon"
Denise,Field,Trial Attorney,4,"Reagan, Carter"
Frank,Figliuzzi,FBI Assistant Director,25,"Obama, Bush II, Clinton, Bush I"
Katharine,Fincham,"Chief, Computer Crimes and Child Exploitation Unit",20,"Obama, Bush II, Clinton"
Larry,Finegold,Executive Assistant United State Attorney,4,Nixon
Jane Adams,Finn,Special Assistant to the Attorney General,6,"Nixon, Johnson"
Amy,Finzi,Assistant United States Attorney,6,Bush II
Daren,Firestone,Trial Attorney,6,"Obama, Bush II"
Louis ,Fischer ,"Senior Attorney, Criminal Appellate ",30,"Bush II, Clinton, Bush I, Reagan, Carter"
David,Fishback,"Assistant Director, Torts Branch, Civil Division ",30,"Obama, Bush II, Clinton, Bush I, Reagan"
Eric,Fisher,Assistant United States Attorney ,3,"Bush II, Clinton"
Gary,Fisher,Senior Trial Attorney,28,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Catherine,Fisk,"Staff Attorney, Appellate Staff of the Civil Division",1,Bush I
Michael,Fitzgerald,Director ATF Investigators Chicago Field Division ,42,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Joyce,Fitzpatrick,Assistant United States Attorney ,6,Reagan
Thomas,Fitzpatrick ,"Chief of Criminal Division, SDNY",6,"Carter, Nixon, Johnson"
Rick,Flam,"Assistant United States Attorney, Criminal Divison Los Angeles",4,"Reagan, Carter"
Catherine,Flanagan,Trial Attorney ,7,"Clinton, Bush I"
John,Flannery,Assistant United States Attorney,5,"Carter, Ford, Nixon"
John,Fleder,"Director, Office of Consumer Litigation (now the Consumer Protection Branch)",20,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Elizabeth,Fleming,"Assistant United States Attorney, ED MI",8,"Bush II, Clinton, Bush I"
Mark,Flessner,Assistant United States Attorney,12,"Clinton, Bush I, Reagan"
Carole,Florman,"Deputy Director, Office of Public Affairs",5,Clinton
Roberta,Flowers,Assistant United States Attorney,5,Bush I
Diana,Flynn,"Chief, Appellate Section, Civil Rights Division",33.5,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Thomas,Flynn,"Chief of Appeals and Training, Eastern District of California",25,"Bush II, Clinton, Bush I, Reagan"
Peter,Flynn,Senior Attorney ,30,"Trump, Obama, Bush II, Clinton, Bush I"
David,Fogel,"Assistant United States Attorney, Colorado",2,Johnson
Carla,Ford,Assistant United States Attorney,18,"Obama, Bush II, Clinton, Bush I"
Daniel,Forman,Assistant United States Attorney,3,"Reagan, Carter"
Jonathan,Forman,Trial Attorney,4,"Reagan, Carter"
Lisa,Foster,"Director, Office for Access to Justice",3,Obama
M. Christine,Fotopulos,"Trial Attorney, Attorney-Advisor",10,"Bush II, Clinton"
Steven,Frahm,"Chief, Court of Federal Claims Section, Tax Division ",32,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
George,Frampton,"Assistant Special Prosecutor, Watergate Special Prosecution Force",4,"Bush I, Ford, Nixon"
Jonny,Frank,Executive Assistant United States Attorney,12,"Clinton, Bush I, Reagan"
Robert,Frantz,Trial Attorney ,3,Carter
Sharon,Frase,Assistant United States Attorney,3,"Obama, Bush II"
Brin,Frazier,Chief Speechwriter for the Attorney General,3,Obama
Kalyn,Free,Senior Counsel,10,"Clinton, Bush I, Reagan"
Larry,Freedman,"Assistant Director, Fraud Section, Civil Division",14,"Bush II, Clinton, Bush I"
William,Freeman,Trial Attorney,3,"Reagan, Carter"
Susan,French,Senior Special Counsel for Human Trafficking,24,"Obama, Bush II, Clinton, Reagan, Carter"
Charles,Fried,Solicitor General,4,Reagan
Alan,Friedman,"Trial Attorney and Special Assistant Attorney General, Criminal Division, Organized Crime Section, Strike Force 18",4,"Nixon, Johnson"
Andrew,Frisch,Senior Litigation Counsel,11,"Bush II, Clinton"
David,Fritchey,"Chief, Organized Crime Strike Force",32,"Obama, Bush II, Clinton, Bush I, Reagan"
Henry,Frohsin,"First Assistant United States Attorney, ND Alabama",15,"Reagan, Carter, Ford, Nixon"
Roger ,Frydrychowski ,Assistant United States Attorney,10,"Clinton, Bush I, Reagan"
Mary Catherine,Frye,"Chief, Civil Division, MDPA",21,"Obama, Bush II, Clinton"
Mary,Fulginiti,Assistant United States Attorney,5,"Bush II, Clinton"
Ronald L.,Futterman,"Trial Attorney, Antitrust Division",5.5,"Nixon, Johnson"
Robert,Gaffey,"Assistant United States Attorney, SDNY",4,Reagan
Robert,Gallagher,Senior Trial Attorney,3,Nixon
Mark,Gallant,"Senior Appellate Counsel, Civil Appellate Division",10,"Reagan, Carter, Ford"
Harriett,Galvin,Assistant United States Attorney,27,"Obama, Bush II, Clinton, Bush I"
Douglas,Gansler,Assistant United States Attorney,6,"Clinton, Bush I"
Marc,Garber,Assistant United States Attorney,9,"Bush II, Clinton, Bush I"
Paul,Garcia,Assistant United States Attorney,5,Clinton
Lynda,Garcia,Trial Attorney,2.5,"Trump, Obama"
Kay,Gardiner,"Deputy Chief, Civil Division, SDNY",12,"Bush II, Clinton, Bush I, Reagan"
William,Gardner,"Chief, Criminal Section, Civil Rights Division",8,"Carter, Ford, Nixon"
Phyllis,Gardner,Executive Director ES4,13,"Clinton, Bush I, Reagan, Carter"
Cecilia,Gardner,Senior Counsel,15,"Bush II, Clinton, Bush I, Reagan"
Carol ,Garfiel Freeman,"Deputy Chief, Appellate Division, United States Attorney's Office, DC",4,"Johnson, Kennedy"
Michael,Garofola,Assistant United States Attorney,4,Obama
Lenore,Garon,Trial Attorney,8.5,"Reagan, Carter, Ford"
Timothy ,Garren,"Acting Deputy Assistant Attorney General, Civil Division",28,"Obama, Bush II, Clinton, Bush I, Reagan"
Katherine,Garrett,Deputy Assistant Attorney General/Chief of Staff,4,Clinton
James,Garrett,"Assistant United States Attorney, Senior Litigation Counsel",36,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Geoffrey,Garver,"Acting Assistant Chief, General Litigation Section (now Natural Resources Section), ENRD",9,"Clinton, Bush I"
Robert,Gary,Acting Chief Cleveland Strike Force Organized Crime Section DOJ,4,"Nixon, Johnson"
Stuart,Gasner,Assistant United States Attorney,4,Bush I
Don,Gehring,Trial Attorney,4,"Carter, Ford, Nixon"
Kenneth S.,Geller,Deputy Solicitor General; Assistant Watergate Special Prosecutor,13,"Reagan, Carter, Ford, Nixon"
Joshua,Geltzer,Counsel to the Assistant Attorney General for National Security,2,Obama
Gerald,George,Senior Lawyer ,26,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Steven,Gerber,"Assistant United States Attorney, District of New Jersey",5,Reagan
Elizabeth,Gere,Senior Trial Counsel DOJ Civil Division; Chief Civil Division SD OHIO,12,"Reagan, Carter, Ford"
Alan,Gershel,Interim United States Attorney,28,"Bush II, Clinton, Bush I, Reagan, Carter"
Stuart,Gerson,Acting Attorney General of the United States; Assistnt Attorney General (Civil),7,"Clinton, Bush I, Nixon"
Avi,Gesser,"Counsel to the Chief, Fraud Section, Criminal Division, DOJ",3,Obama
Elyssa,Getreu,Assistant United State Attorney,5,Bush II
Diane,Giacalone,"Chief, Public Corruption, EDNY",11,"Reagan, Carter"
Stuart,Gibson,"Senior Litigation Counsel, Tax Division",28.5,"Obama, Bush II, Clinton, Bush I, Reagan"
Larry,Gibson,Associate Deputy Attorney General,2,Carter
Martha,Gifford,"Trial Attorney, Antitrust Division",6,"Bush I, Reagan"
Deborah,Gilg,United States Attorney for Nebraska,8,Obama
Ernestine,Gilpin,"Associate Director, Office of International Affairs, Criminal Division",18,"Bush II, Clinton, Bush I, Reagan"
Stephen,Gilson,Assistant United States Attorney,3,"Trump, Obama"
Gail,Ginsberg,Assistant United States Attorney,11.5,"Bush I, Reagan, Carter"
Peter,Ginsberg,Assistant United States Attorney,7,Bush I
Nancy,Gist,"Director, Bureau of Justice Assistance",6,Clinton
Precious,Gittens,Assistant United States Attorney,5,Bush II
Grace,Glasgow,"Attorney Advisor, OIPR; Acting Unit Chief, FBI",5,"Obama, Bush II, Clinton"
Anthony,Glassman,Assistant United States Attorney,4,"Nixon, Johnson"
Eileen,Gleason,Executive Assistant United States Attorney,25,"Obama, Bush II, Clinton, Bush I, Reagan"
Paul,Glickman,"Trial Attorney, Justice Department Criminal Division",9,"Clinton, Bush I"
Richard,Glovsky,"Chief, Civil Division",7,"Carter, Ford, Nixon"
Aitan,Goelman,Assistant United States Attorney,9,"Bush II, Clinton"
Aron,Golberg,Trial Attorney,4,Reagan
Michael,Gold,Assistant United States Attorney,6,Reagan
Sarah,Gold,Assistant United States Attorney SDNY,8,"Reagan, Carter, Ford"
David,Goldberg,Assistant United States Attorney,7,"Bush II, Clinton"
Richard,Goldberg,"Chief of Trials, United States Attorney's Office, Eastern District of Pennsylvania ",27,"Trump, Obama, Bush II, Clinton, Bush I"
Arthur,Goldberg,Assistant Branch Director,32,"Obama, Bush II, Clinton, Bush I, Reagan"
Joshua,Goldberg,Assistant United States Attorney,8,"Obama, Bush II"
Daniel,Goldberg,"Chief of Staff, Office of Legislative Affairs",3,Obama
Larry,Goldberg,Enforcement Attorney,4,Reagan
Stephanie,Golden,Trial Attorney,10,"Reagan, Carter, Ford"
Dan,Goldfine ,Trial Attorney ,8,"Clinton, Bush I"
Joan,Goldfrank,"Deputy, Professional Responsibility Advisory Office",8,"Bush II, Clinton"
Daniel,Goldman,Assistant United States Attorney,10,"Trump, Obama, Bush II"
Marc,Goldman,Assistant United States Attorney,3,"Reagan, Carter"
Jared,Goldstein,"Attorney, Appellate Section, ENRD",5,"Bush II, Clinton"
Anne,Goldstein ,"Trial Attorney, Honors Program",3,Reagan
Janet ,Goldstein ,Assistant United States Attorney,10,"Reagan, Carter"
Jonathan ,Goldstein ,United States Attorney for the District of New Jersey,11,"Ford, Nixon"
James,Goldston,Assistant United States Attorney,5,"Clinton, Bush I"
Robert,Goodman,Trial Attorney,2.5,Bush I
Robert ,Goodman,"Deputy Chief, Criminal Division (DNJ)",6,"Reagan, Carter"
Hilary,Goodman,Attorney Advisor,13,"Obama, Bush II"
Mark,Goodman,Assistant United States Attorney ,3,Clinton
Catharine,Goodwin,Assistant United States Attorney,15,"Bush II, Clinton, Bush I"
Robert,Goodwin,"Special Agent in Charge, DOJ OIG",19,"Bush II, Clinton, Bush I, Reagan"
Richard,Gordin,Assistant United States Attorney ,5,"Reagan, Carter"
Dan,Gordon,"Attorney, Civil Rights Division",5,"Bush II, Clinton"
Glenda,Gordon,Asset Forfeiture Chief,27,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Denis,Gordon,Deputy Section Chief CRD,8,"Ford, Nixon, Johnson"
Barbara,Gordon,Assistant Branch Director,10,"Bush I, Reagan, Carter"
George I.,Gordon,"Chief Appellate Attorney, SDNY",4,"Kennedy, Eisenhower"
Steven,Gordon,Assistant United States Attorney,4,Carter
Jerry,Goren,Assistant United States Attirney,8,"Reagan, Carter"
Jon,Gould ,Senior Policy Advisor ,2,"Obama, Reagan"
Mary,Grad,Assistant United States Attorney,28,"Obama, Bush II, Clinton, Bush I, Reagan"
Stephen,Graeff,Trial Attorney ,3,Carter
Steve,Grafman,Assistant United States Attorney District of Columnia,5,Nixon
Lorna,Graham,Assistant United States Attorney,25,"Obama, Bush II, Clinton, Bush I, Reagan"
Raymond,Granger,Assistant United States Attorney,6,"Clinton, Bush I"
Peter ,Gray,Trial Attorney,26,"Obama, Bush II, Clinton, Bush I"
